보행자작동신호기관리번호,지주관리번호,방향,설치일,교체일,X좌표,Y좌표,제조업체,작업구분,표출구분,종류,신규정규화ID,상태,공사관리번호,보행자작동신호기관리번호,이력ID,위치정보,공사형태,MNG_AGEN,XGEO
29-0000000035,02-0000069350,90 ,-,-,201378.47348,552795.14348,-,002,001,000,-,001,2000-0000-000,29-000035,411,1,-,-,
29-0000000985,02-0000069350,90 ,-,-,201378.47348,552795.14348,대한신호,002,001,001,-,001,2011-1701-006,29-000985,412,1,-,-,
29-0000000034,02-0000069351,90 ,-,-,201395.27348,552785.64778,-,002,001,000,-,001,2000-0000-000,29-000034,413,1,-,-,
29-0000000034,02-0000069351,90 ,-,-,201395.27348,552785.64778,-,001,001,000,-,001,2000-0000-000,29-000034,414,1,-,-,
29-0000000987,02-0000069351,90 ,-,-,201395.27348,552785.64778,대한신호,002,001,001,-,001,2011-1701-006,29-000987,415,1,-,-,
29-0000000034,02-0000069351,0  ,-,-,201395.27348,552785.64778,-,004,001,000,-,001,2000-0000-000,29-000034,416,1,-,-,
29-0000000981,02-0000069409,90 ,-,-,201367.81532,553155.4315,대한신호,003,001,001,-,001,2011-1701-006,29-000981,417,1,-,-,
29-0000000030,02-0000069409,0  ,-,-,201367.81532,553155.4315,-,004,001,000,-,001,2000-0000-000,29-000030,419,1,-,-,
29-0000000376,02-0000134022,90 ,20201215,20201215,196695.04222,555384.92962,대한신호,001,001,000,3347021    ,001,2020-0101-114,29-000376,890,1,003,-,
29-0000001053,02-0000129832,270,-,-,207169.33815,548010.9544,.,002,001,000,-,001,2012-0101-071,29-001053,863,1,-,-,
29-0000001056,02-0000129832,0  ,-,-,207169.33815,548010.9544,.,002,001,000,-,001,2012-0101-112,29-001056,864,1,-,-,
29-0000001052,02-0000129839,135,-,-,207165.55729,548025.94491,.,002,001,000,-,001,2012-0101-071,29-001052,865,1,-,-,
29-0000001057,02-0000129839,0  ,-,-,207165.55729,548025.94491,.,002,001,000,-,001,2012-0101-112,29-001057,866,1,-,-,
29-0000000881,02-0000130616,90 ,-,-,206345.52695,552853.59603,대한신호,002,001,000,-,001,2012-0101-012,29-000881,867,1,-,-,
29-0000000880,02-0000130616,0  ,-,-,206345.52695,552853.59603,대한신호,002,001,000,-,001,2012-0101-012,29-000880,868,1,-,-,
29-0000000474,02-0000130641,90 ,-,-,201881.17211,560236.74248,-,001,002,000,4446491    ,001,2000-0000-000,29-000474,869,1,-,-,
29-0000000473,02-0000130644,90 ,-,-,201875.84803,560247.63623,-,001,002,000,4446391    ,001,2000-0000-000,29-000473,870,1,-,-,
29-0000000447,02-0000091196,90 ,-,-,201527.86478,559722.76499,-,001,001,000,-,001,2000-0000-000,29-000447,871,1,-,-,
29-0000000227,02-0000130892,90 ,-,-,197199.73532,551569.10305,-,001,001,000,-,001,2000-0000-000,29-000227,872,1,-,-,
29-0000002016,02-0000183269,180,20201215,20201215,201196.64678,562292.94865,대한신호,001,001,000,4531002    ,-,2020-0101-114,29-002016,2209,-,003,-,
29-0000000552,02-0000132213,90 ,-,-,206683.65322,556934.23108,-,001,002,000,-,001,2000-0000-000,29-000552,874,1,-,-,
29-0000000090,02-0000132245,0  ,-,-,194862.66296,544580.42,-,001,002,000,3105363    ,001,2000-0000-000,29-000090,875,1,001,-,
29-0000000091,02-0000132246,0  ,-,-,194854.02819,544565.52194,-,001,002,000,3105364    ,001,2000-0000-000,29-000091,876,1,001,-,
29-0000000094,02-0000132262,0  ,-,-,195024.44387,544315.84116,-,001,001,000,-,001,2000-0000-000,29-000094,877,1,-,-,
29-0000000095,02-0000132265,0  ,-,-,195012.74963,544325.94379,-,001,001,000,-,001,2000-0000-000,29-000095,878,1,-,-,
29-0000000146,02-0000132430,270,20011203,-,206737.12277,544305.41045,-,001,001,000,-,001,2000-0000-000,29-000146,879,1,-,-,
29-0000000930,02-0000132507,0  ,-,-,204984.15316,551586.15136,0,001,001,000,-,001,2011-0101-084,29-000930,880,1,-,-,
29-0000000578,02-0000132540,90 ,-,-,209812.66229,555830.59349,-,001,002,000,-,001,2000-0000-000,29-000578,881,1,-,-,
29-0000000579,02-0000132541,90 ,-,-,209828.90449,555834.84713,-,001,002,000,-,001,2000-0000-000,29-000579,882,1,-,-,
29-0000000577,02-0000132543,90 ,-,-,209724.87489,556004.34796,-,001,002,000,-,001,2000-0000-000,29-000577,883,1,-,-,
29-0000000576,02-0000132545,90 ,-,-,209710.06494,555989.61487,-,001,002,000,-,001,2000-0000-000,29-000576,884,1,-,-,
29-0000000642,02-0000132631,90 ,-,-,205971.46032,555462.50235,-,001,001,000,-,001,2000-0000-000,29-000642,885,1,-,-,
29-0000000642,02-0000132631,90 ,-,-,205971.46032,555462.50235,-,002,001,000,-,001,2000-0000-000,29-000642,886,1,-,-,
29-0000002015,02-0000183270,180,20201215,20201215,201216.28777,562302.31361,대한신호,001,001,000,4531012    ,-,2020-0101-114,29-002015,2208,-,003,-,
29-0000000393,02-0000086097,90 ,20161111,20201215,201190.98079,562411.81574,-,001,001,000,4531031    ,001,2020-0101-114,29-000393,559,1,003,-,
29-0000000392,02-0000086095,90 ,20201215,20201215,201171.79378,562404.03014,-,001,001,000,4521931    ,001,2020-0101-114,29-000392,558,1,003,-,
29-0000001728,02-0000179241,180,20130801,20201215,197552.78005,554293.0037,대한신호(주),001,001,000,3355702    ,001,2020-0101-114,29-001728,1921,-,003,-,
29-0000001727,02-0000139671,180,20130801,20201215,197564.4068,554302.75389,대한신호(주),001,001,000,3355712    ,001,2020-0101-114,29-001727,1920,-,003,-,
29-0000000278,02-0000134220,90 ,-,-,193428.62237,556003.16707,-,002,001,000,-,001,2000-0000-000,29-000278,896,1,-,-,
29-0000000823,02-0000134220,90 ,-,-,193428.62237,556003.16707,ㅎ,002,001,000,-,001,2011-0101-079,29-000823,898,1,-,-,
29-0000000278,02-0000134220,90 ,-,-,193428.62237,556003.16707,-,002,001,000,-,001,2000-0000-000,29-000278,899,1,-,-,
29-0000000168,02-0000134961,270,-,-,211165.63572,549022.86744,-,001,001,000,6224952    ,001,2000-0000-000,29-000168,900,1,003,-,
29-0000000167,02-0000134964,90 ,-,-,211169.5538,549038.87906,-,001,001,000,6224951    ,001,2000-0000-000,29-000167,901,1,003,-,
29-0000000166,02-0000134971,270,-,-,211063.69451,549055.11564,-,001,001,000,6224762    ,001,2000-0000-000,29-000166,902,1,003,-,
29-0000000901,02-0000135763,0  ,-,-,212032.18911,548868.88643,대한신호,001,002,000,6244722    ,001,2011-0101-103,29-000901,903,1,-,-,
29-0000000547,02-0000135883,90 ,-,-,200189.33949,555557.29926,-,001,002,000,-,001,2000-0000-000,29-000547,904,1,-,-,
